param_n_neighbors,param_weights,param_p,mean_test_score,rank_test_score
114,uniform,2,0.75375,445
148,distance,2,0.75375,445
108,uniform,1,0.75375,445
134,uniform,1,0.75375,445
105,uniform,1,0.75375,445
104,uniform,1,0.75375,445
179,distance,2,0.75375,445
149,distance,2,0.75375,445
110,distance,2,0.75375,445
133,uniform,1,0.75375,445
131,uniform,1,0.75375,445
99,uniform,1,0.75375,445
150,distance,2,0.75375,445
147,distance,2,0.75375,445
112,distance,2,0.75375,445
132,uniform,1,0.75375,445
125,uniform,1,0.75375,445
135,uniform,1,0.75375,445
113,distance,2,0.75375,445
137,uniform,1,0.75375,445
126,uniform,1,0.75375,445
151,distance,2,0.75375,445
124,uniform,2,0.7537499999999999,481
125,uniform,2,0.7537499999999999,481
149,distance,1,0.7537499999999999,481
146,distance,1,0.7537499999999999,481
153,distance,1,0.7537499999999999,481
152,distance,1,0.7537499999999999,481
151,distance,1,0.7537499999999999,481
134,distance,2,0.7537499999999999,481
132,distance,2,0.7537499999999999,481
148,distance,1,0.7537499999999999,481
133,distance,2,0.7537499999999999,481
135,distance,2,0.7537499999999999,481
150,distance,1,0.7537499999999999,481
99,uniform,2,0.7537499999999999,481
123,uniform,2,0.7537499999999999,481
84,uniform,2,0.7537499999999999,481
84,uniform,1,0.7537499999999999,481
102,uniform,2,0.7537499999999999,481
104,uniform,2,0.7537499999999999,481
105,uniform,2,0.7537499999999999,481
109,uniform,2,0.7537499999999999,481
111,uniform,1,0.7537499999999999,481
78,uniform,1,0.7537499999999999,481
39,distance,1,0.7537499999999999,481
113,uniform,2,0.7537499999999999,481
92,uniform,2,0.7537499999999999,481
117,distance,2,0.7537499999999999,481
93,uniform,2,0.7537499999999999,481
6,distance,1,0.7537499999999999,481
122,uniform,2,0.7537499999999999,481
5,distance,2,0.7537499999999999,481
119,distance,2,0.7537499999999999,481
150,uniform,1,0.7525000000000001,513
140,distance,2,0.7525000000000001,513
140,uniform,2,0.7525000000000001,513
158,uniform,2,0.7525000000000001,513
151,uniform,1,0.7525000000000001,513
158,distance,1,0.7525000000000001,513
160,uniform,2,0.7525000000000001,513
157,uniform,2,0.7525000000000001,513
139,uniform,2,0.7525000000000001,513
171,uniform,2,0.7525000000000001,513
156,uniform,2,0.7525000000000001,513
172,uniform,2,0.7525000000000001,513
173,uniform,2,0.7525000000000001,513
139,distance,2,0.7525000000000001,513
170,uniform,2,0.7525000000000001,513
141,uniform,2,0.7525000000000001,513
169,distance,1,0.7525000000000001,513
124,uniform,1,0.7525000000000001,513
161,uniform,2,0.7525000000000001,513
147,uniform,1,0.7525000000000001,513
149,uniform,1,0.7525000000000001,513
162,uniform,2,0.7525000000000001,513
145,uniform,1,0.7525000000000001,513
4,distance,2,0.7525000000000001,513
166,distance,1,0.7525000000000001,513
167,distance,1,0.7525000000000001,513
167,uniform,2,0.7525000000000001,513
143,uniform,1,0.7525000000000001,513
15,distance,2,0.7525000000000001,513
168,uniform,2,0.7525000000000001,513
159,uniform,2,0.7525000000000001,513
166,uniform,2,0.7525000000000001,513
168,distance,1,0.7525000000000001,513
138,uniform,2,0.7525000000000001,513
136,uniform,2,0.7525000000000001,513
115,uniform,1,0.7525000000000001,513
116,uniform,1,0.7525000000000001,513
130,uniform,2,0.7525000000000001,513
182,distance,2,0.7525000000000001,513
130,uniform,1,0.7525000000000001,513
128,uniform,2,0.7525000000000001,513
118,uniform,1,0.7525000000000001,513
128,uniform,1,0.7525000000000001,513
127,uniform,2,0.7525000000000001,513
196,uniform,1,0.7525000000000001,513
119,uniform,1,0.7525000000000001,513
126,uniform,2,0.7525000000000001,513
121,uniform,1,0.7525000000000001,513
122,uniform,1,0.7525000000000001,513
123,uniform,1,0.7525000000000001,513
181,distance,2,0.7525000000000001,513
131,uniform,2,0.7525000000000001,513
129,uniform,2,0.7525000000000001,513
154,distance,1,0.7525000000000001,513
180,distance,2,0.7525000000000001,513
135,uniform,2,0.7525000000000001,513
100,uniform,2,0.7525000000000001,513
103,uniform,2,0.7525000000000001,513
134,uniform,2,0.7525000000000001,513
133,uniform,2,0.7525000000000001,513
136,uniform,1,0.7525000000000001,513
174,uniform,2,0.7525000000000001,513
175,uniform,2,0.7525000000000001,513
132,uniform,2,0.7525000000000001,513
101,uniform,2,0.7525000000000001,513
197,distance,1,0.7525,578
199,distance,1,0.7525,578
157,distance,1,0.7525,578
158,distance,2,0.7525,578
159,distance,1,0.7525,578
196,distance,1,0.7525,578
155,distance,1,0.7525,578
171,distance,2,0.7525,578
195,distance,1,0.7525,578
159,distance,2,0.7525,578
172,distance,2,0.7525,578
157,distance,2,0.7525,578
168,distance,2,0.7525,578
161,distance,2,0.7525,578
175,distance,2,0.7525,578
169,distance,2,0.7525,578
167,distance,2,0.7525,578
174,distance,2,0.7525,578
166,distance,2,0.7525,578
192,distance,1,0.7525,578
173,distance,2,0.7525,578
165,distance,2,0.7525,578
164,distance,2,0.7525,578
163,distance,2,0.7525,578
